,#miRNA,read_count,precursor,total,s01,s02,s03,s04,s05,s06,s07,s08,s09,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s01(norm),s02(norm),s03(norm),s04(norm),s05(norm),s06(norm),s07(norm),s08(norm),s09(norm),s10(norm),s11(norm),s12(norm),s13(norm),s14(norm),s15(norm),s16(norm),s17(norm),s18(norm),s19(norm),s20(norm),s21(norm),s22(norm),s23(norm),s24(norm)
148,bta-miR-214,961.0,bta-mir-214,961.0,69.0,24.0,93.0,53.0,15.0,14.0,19.0,43.0,31.0,45.0,63.0,104.0,0.0,14.0,67.0,22.0,32.0,83.0,34.0,20.0,28.0,31.0,28.0,29.0,135.25,58.87,187.03,164.96,25.31,52.79,53.66,76.65,77.35,55.64,127.84,125.28,0.0,34.6,145.44,85.55,58.78,152.94,43.43,50.74,87.89,55.85,59.64,41.56
149,bta-miR-425-3p,1657.0,bta-mir-425,1657.0,66.0,80.0,82.0,47.0,155.0,41.0,27.0,30.0,69.0,142.0,74.0,135.0,25.0,53.0,54.0,45.0,87.0,73.0,141.0,42.0,27.0,58.0,22.0,82.0,129.37,196.25,164.9,146.28,261.56,154.59,76.25,53.48,172.16,175.58,150.16,162.62,166.92,130.99,117.22,175.0,159.79,134.52,180.12,106.56,84.75,104.5,46.86,117.52
150,bta-miR-2285k,1802.0,bta-mir-2285k-1,1802.0,64.0,53.0,74.0,60.0,160.0,46.0,47.0,76.0,44.0,74.0,137.0,194.0,13.0,36.0,31.0,20.0,58.0,36.0,291.0,34.0,30.0,38.0,34.0,152.0,125.45,130.01,148.82,186.75,269.99,173.44,132.73,135.47,109.78,91.5,278.0,233.69,86.8,88.98,67.29,77.78,106.53,66.34,371.74,86.26,94.17,68.47,72.42,217.83
151,bta-miR-2285k,1802.0,bta-mir-2285k-4,1802.0,64.0,53.0,74.0,60.0,160.0,46.0,47.0,76.0,44.0,74.0,137.0,194.0,13.0,36.0,31.0,20.0,58.0,36.0,291.0,34.0,30.0,38.0,34.0,152.0,125.45,130.01,148.82,186.75,269.99,173.44,132.73,135.47,109.78,91.5,278.0,233.69,86.8,88.98,67.29,77.78,106.53,66.34,371.74,86.26,94.17,68.47,72.42,217.83
152,bta-miR-502a,1312.0,bta-mir-502a-1,1312.0,61.0,34.0,46.0,84.0,53.0,41.0,35.0,75.0,50.0,71.0,101.0,128.0,12.0,32.0,54.0,13.0,48.0,31.0,106.0,34.0,40.0,43.0,46.0,74.0,119.57,83.41,92.51,261.45,89.44,154.59,98.84,133.69,124.76,87.79,204.95,154.18,80.12,79.09,117.22,50.55,88.16,57.12,135.41,86.26,125.56,77.48,97.98,106.05
153,bta-miR-502a,1311.0,bta-mir-502a-2,1311.0,61.0,34.0,46.0,84.0,53.0,41.0,35.0,75.0,49.0,71.0,101.0,128.0,12.0,32.0,54.0,13.0,48.0,31.0,106.0,34.0,40.0,43.0,46.0,74.0,119.57,83.41,92.51,261.45,89.44,154.59,98.84,133.69,122.26,87.79,204.95,154.18,80.12,79.09,117.22,50.55,88.16,57.12,135.41,86.26,125.56,77.48,97.98,106.05
154,bta-miR-331-5p,1564.0,bta-mir-331,1564.0,59.0,49.0,65.0,48.0,83.0,47.0,43.0,91.0,38.0,92.0,58.0,107.0,22.0,37.0,64.0,29.0,72.0,79.0,167.0,42.0,37.0,66.0,72.0,97.0,115.65,120.2,130.72,149.4,140.06,177.21,121.43,162.21,94.81,113.76,117.69,128.89,146.89,91.45,138.93,112.78,132.24,145.57,213.33,106.56,116.14,118.92,153.36,139.01
155,bta-miR-204,1208.0,bta-mir-204,1208.0,56.0,85.0,78.0,27.0,76.0,40.0,15.0,23.0,57.0,57.0,82.0,130.0,5.0,68.0,52.0,24.0,77.0,54.0,57.0,17.0,28.0,18.0,22.0,60.0,109.77,208.51,156.86,84.04,128.25,150.82,42.36,41.0,142.22,70.48,166.39,156.59,33.38,168.07,112.88,93.33,141.43,99.51,72.81,43.13,87.89,32.43,46.86,85.99
156,bta-miR-3431,695.0,bta-mir-3431,695.0,55.0,16.0,62.0,31.0,8.0,18.0,30.0,26.0,26.0,65.0,38.0,58.0,3.0,16.0,29.0,28.0,19.0,37.0,28.0,9.0,19.0,39.0,14.0,21.0,107.81,39.25,124.68,96.49,13.5,67.87,84.72,46.35,64.87,80.37,77.11,69.87,20.03,39.55,62.95,108.89,34.9,68.18,35.77,22.83,59.64,70.27,29.82,30.1
157,bta-miR-2284z,1625.0,bta-mir-2284z-1,1625.0,51.0,101.0,53.0,26.0,145.0,48.0,44.0,104.0,44.0,150.0,65.0,129.0,38.0,25.0,33.0,18.0,76.0,29.0,142.0,44.0,38.0,78.0,42.0,102.0,99.97,247.76,106.58,80.92,244.68,180.98,124.25,185.39,109.78,185.47,131.9,155.39,253.72,61.79,71.63,70.0,139.59,53.44,181.4,111.63,119.28,140.54,89.46,146.18
158,bta-miR-2284z,1625.0,bta-mir-2284z-2,1625.0,51.0,101.0,53.0,26.0,145.0,48.0,44.0,104.0,44.0,150.0,65.0,129.0,38.0,25.0,33.0,18.0,76.0,29.0,142.0,44.0,38.0,78.0,42.0,102.0,99.97,247.76,106.58,80.92,244.68,180.98,124.25,185.39,109.78,185.47,131.9,155.39,253.72,61.79,71.63,70.0,139.59,53.44,181.4,111.63,119.28,140.54,89.46,146.18
159,bta-miR-2284z,1625.0,bta-mir-2284z-4,1625.0,51.0,101.0,53.0,26.0,145.0,48.0,44.0,104.0,44.0,150.0,65.0,129.0,38.0,25.0,33.0,18.0,76.0,29.0,142.0,44.0,38.0,78.0,42.0,102.0,99.97,247.76,106.58,80.92,244.68,180.98,124.25,185.39,109.78,185.47,131.9,155.39,253.72,61.79,71.63,70.0,139.59,53.44,181.4,111.63,119.28,140.54,89.46,146.18
160,bta-miR-2284z,1632.0,bta-mir-2284z-5,1632.0,51.0,101.0,53.0,26.0,145.0,48.0,44.0,104.0,45.0,151.0,65.0,129.0,38.0,25.0,34.0,19.0,76.0,30.0,143.0,44.0,38.0,78.0,42.0,103.0,99.97,247.76,106.58,80.92,244.68,180.98,124.25,185.39,112.28,186.71,131.9,155.39,253.72,61.79,73.8,73.89,139.59,55.28,182.67,111.63,119.28,140.54,89.46,147.61
161,bta-miR-2284aa,1625.0,bta-mir-2284z-1,1625.0,51.0,101.0,53.0,26.0,145.0,48.0,44.0,104.0,44.0,150.0,65.0,129.0,38.0,25.0,33.0,18.0,76.0,29.0,142.0,44.0,38.0,78.0,42.0,102.0,99.97,247.76,106.58,80.92,244.68,180.98,124.25,185.39,109.78,185.47,131.9,155.39,253.72,61.79,71.63,70.0,139.59,53.44,181.4,111.63,119.28,140.54,89.46,146.18
162,bta-miR-2284aa,1625.0,bta-mir-2284z-2,1625.0,51.0,101.0,53.0,26.0,145.0,48.0,44.0,104.0,44.0,150.0,65.0,129.0,38.0,25.0,33.0,18.0,76.0,29.0,142.0,44.0,38.0,78.0,42.0,102.0,99.97,247.76,106.58,80.92,244.68,180.98,124.25,185.39,109.78,185.47,131.9,155.39,253.72,61.79,71.63,70.0,139.59,53.44,181.4,111.63,119.28,140.54,89.46,146.18
163,bta-miR-2284aa,1625.0,bta-mir-2284z-4,1625.0,51.0,101.0,53.0,26.0,145.0,48.0,44.0,104.0,44.0,150.0,65.0,129.0,38.0,25.0,33.0,18.0,76.0,29.0,142.0,44.0,38.0,78.0,42.0,102.0,99.97,247.76,106.58,80.92,244.68,180.98,124.25,185.39,109.78,185.47,131.9,155.39,253.72,61.79,71.63,70.0,139.59,53.44,181.4,111.63,119.28,140.54,89.46,146.18
164,bta-miR-2284aa,1632.0,bta-mir-2284z-5,1632.0,51.0,101.0,53.0,26.0,145.0,48.0,44.0,104.0,45.0,151.0,65.0,129.0,38.0,25.0,34.0,19.0,76.0,30.0,143.0,44.0,38.0,78.0,42.0,103.0,99.97,247.76,106.58,80.92,244.68,180.98,124.25,185.39,112.28,186.71,131.9,155.39,253.72,61.79,73.8,73.89,139.59,55.28,182.67,111.63,119.28,140.54,89.46,147.61
165,bta-miR-2284z,1625.0,bta-mir-2284z-6,1625.0,51.0,101.0,52.0,26.0,145.0,48.0,44.0,104.0,44.0,150.0,65.0,129.0,38.0,25.0,33.0,18.0,76.0,29.0,142.0,44.0,39.0,78.0,42.0,102.0,99.97,247.76,104.57,80.92,244.68,180.98,124.25,185.39,109.78,185.47,131.9,155.39,253.72,61.79,71.63,70.0,139.59,53.44,181.4,111.63,122.42,140.54,89.46,146.18
166,bta-miR-2284z,1624.0,bta-mir-2284z-7,1624.0,51.0,101.0,52.0,26.0,145.0,48.0,44.0,104.0,44.0,150.0,65.0,129.0,38.0,25.0,33.0,18.0,76.0,29.0,142.0,44.0,38.0,78.0,42.0,102.0,99.97,247.76,104.57,80.92,244.68,180.98,124.25,185.39,109.78,185.47,131.9,155.39,253.72,61.79,71.63,70.0,139.59,53.44,181.4,111.63,119.28,140.54,89.46,146.18
167,bta-miR-2284aa,1625.0,bta-mir-2284z-6,1625.0,51.0,101.0,52.0,26.0,145.0,48.0,44.0,104.0,44.0,150.0,65.0,129.0,38.0,25.0,33.0,18.0,76.0,29.0,142.0,44.0,39.0,78.0,42.0,102.0,99.97,247.76,104.57,80.92,244.68,180.98,124.25,185.39,109.78,185.47,131.9,155.39,253.72,61.79,71.63,70.0,139.59,53.44,181.4,111.63,122.42,140.54,89.46,146.18
168,bta-miR-2284aa,1624.0,bta-mir-2284z-7,1624.0,51.0,101.0,52.0,26.0,145.0,48.0,44.0,104.0,44.0,150.0,65.0,129.0,38.0,25.0,33.0,18.0,76.0,29.0,142.0,44.0,38.0,78.0,42.0,102.0,99.97,247.76,104.57,80.92,244.68,180.98,124.25,185.39,109.78,185.47,131.9,155.39,253.72,61.79,71.63,70.0,139.59,53.44,181.4,111.63,119.28,140.54,89.46,146.18
169,bta-miR-2284z,1637.0,bta-mir-2284z-3,1637.0,51.0,101.0,52.0,26.0,145.0,47.0,45.0,105.0,45.0,154.0,65.0,129.0,38.0,25.0,34.0,17.0,76.0,30.0,143.0,45.0,39.0,80.0,42.0,103.0,99.97,247.76,104.57,80.92,244.68,177.21,127.08,187.17,112.28,190.42,131.9,155.39,253.72,61.79,73.8,66.11,139.59,55.28,182.67,114.17,122.42,144.14,89.46,147.61
170,bta-miR-2284aa,1637.0,bta-mir-2284z-3,1637.0,51.0,101.0,52.0,26.0,145.0,47.0,45.0,105.0,45.0,154.0,65.0,129.0,38.0,25.0,34.0,17.0,76.0,30.0,143.0,45.0,39.0,80.0,42.0,103.0,99.97,247.76,104.57,80.92,244.68,177.21,127.08,187.17,112.28,190.42,131.9,155.39,253.72,61.79,73.8,66.11,139.59,55.28,182.67,114.17,122.42,144.14,89.46,147.61
171,bta-let-7c,1154.0,bta-let-7c,1154.0,51.0,67.0,43.0,30.0,40.0,21.0,22.0,36.0,58.0,70.0,53.0,85.0,6.0,41.0,47.0,36.0,64.0,46.0,100.0,44.0,27.0,41.0,29.0,97.0,99.97,164.36,86.47,93.37,67.5,79.18,62.13,64.17,144.72,86.55,107.55,102.39,40.06,101.33,102.02,140.0,117.55,84.76,127.74,111.63,84.75,73.87,61.77,139.01
172,bta-miR-2284aa,1641.0,bta-mir-2284aa-1,1641.0,49.0,101.0,57.0,27.0,142.0,48.0,47.0,109.0,48.0,158.0,62.0,124.0,39.0,25.0,37.0,22.0,75.0,28.0,140.0,46.0,41.0,78.0,43.0,95.0,96.05,247.76,114.63,84.04,239.62,180.98,132.73,194.3,119.76,195.36,125.81,149.37,260.4,61.79,80.32,85.55,137.75,51.6,178.84,116.71,128.69,140.54,91.59,136.15
173,bta-miR-2284aa,1639.0,bta-mir-2284aa-4,1639.0,49.0,101.0,57.0,27.0,142.0,47.0,47.0,108.0,48.0,158.0,62.0,124.0,39.0,25.0,37.0,22.0,75.0,28.0,140.0,46.0,41.0,78.0,43.0,95.0,96.05,247.76,114.63,84.04,239.62,177.21,132.73,192.52,119.76,195.36,125.81,149.37,260.4,61.79,80.32,85.55,137.75,51.6,178.84,116.71,128.69,140.54,91.59,136.15
174,bta-miR-2284aa,1647.0,bta-mir-2284aa-2,1647.0,49.0,101.0,56.0,27.0,142.0,47.0,47.0,110.0,49.0,161.0,62.0,124.0,39.0,25.0,38.0,21.0,75.0,28.0,141.0,46.0,41.0,80.0,43.0,95.0,96.05,247.76,112.62,84.04,239.62,177.21,132.73,196.08,122.26,199.07,125.81,149.37,260.4,61.79,82.49,81.67,137.75,51.6,180.12,116.71,128.69,144.14,91.59,136.15
175,bta-miR-2284aa,1638.0,bta-mir-2284aa-3,1638.0,49.0,101.0,56.0,27.0,142.0,47.0,47.0,108.0,48.0,158.0,62.0,124.0,39.0,25.0,37.0,22.0,75.0,28.0,140.0,46.0,41.0,78.0,43.0,95.0,96.05,247.76,112.62,84.04,239.62,177.21,132.73,192.52,119.76,195.36,125.81,149.37,260.4,61.79,80.32,85.55,137.75,51.6,178.84,116.71,128.69,140.54,91.59,136.15
176,bta-miR-148b,1678.0,bta-mir-148b,1678.0,49.0,88.0,82.0,25.0,98.0,29.0,19.0,37.0,41.0,73.0,68.0,129.0,20.0,35.0,30.0,15.0,69.0,46.0,371.0,37.0,16.0,33.0,38.0,230.0,96.05,215.87,164.9,77.81,165.37,109.34,53.66,65.95,102.3,90.26,137.99,155.39,133.54,86.5,65.12,58.33,126.73,84.76,473.93,93.87,50.22,59.46,80.94,329.62
177,bta-miR-2415-3p,1165.0,bta-mir-2415,1165.0,49.0,27.0,29.0,13.0,184.0,16.0,50.0,101.0,29.0,52.0,22.0,52.0,14.0,100.0,23.0,42.0,50.0,22.0,71.0,68.0,48.0,33.0,26.0,44.0,96.05,66.23,58.32,40.46,310.49,60.33,141.2,180.04,72.36,64.3,44.64,62.64,93.48,247.16,49.93,163.33,91.84,40.54,90.7,172.52,150.67,59.46,55.38,63.06
178,bta-miR-1388-5p,1560.0,bta-mir-1388,1560.0,48.0,53.0,122.0,76.0,81.0,41.0,56.0,73.0,78.0,75.0,87.0,117.0,13.0,24.0,78.0,26.0,63.0,69.0,151.0,24.0,34.0,36.0,42.0,93.0,94.09,130.01,245.35,236.55,136.68,154.59,158.14,130.13,194.62,92.74,176.54,140.93,86.8,59.32,169.32,101.11,115.71,127.15,192.89,60.89,106.72,64.86,89.46,133.28
179,bta-miR-1839,883.0,bta-mir-1839,883.0,47.0,37.0,75.0,24.0,53.0,23.0,16.0,24.0,31.0,56.0,32.0,65.0,2.0,22.0,36.0,19.0,44.0,46.0,71.0,24.0,15.0,36.0,19.0,66.0,92.13,90.76,150.83,74.7,89.44,86.72,45.18,42.78,77.35,69.24,64.93,78.3,13.35,54.37,78.15,73.89,80.82,84.76,90.7,60.89,47.08,64.86,40.47,94.59
180,bta-miR-296-5p,938.0,bta-mir-296,938.0,47.0,22.0,27.0,24.0,53.0,36.0,43.0,49.0,33.0,58.0,38.0,39.0,7.0,33.0,38.0,42.0,41.0,44.0,55.0,38.0,30.0,59.0,42.0,40.0,92.13,53.97,54.3,74.7,89.44,135.74,121.43,87.35,82.34,71.72,77.11,46.98,46.74,81.56,82.49,163.33,75.31,81.08,70.26,96.41,94.17,106.3,89.46,57.32
181,bta-miR-145,1252.0,bta-mir-145,1252.0,46.0,37.0,139.0,71.0,8.0,28.0,36.0,51.0,70.0,46.0,82.0,90.0,9.0,66.0,65.0,50.0,33.0,94.0,37.0,41.0,51.0,36.0,35.0,31.0,90.17,90.76,279.53,220.98,13.5,105.57,101.66,90.91,174.66,56.88,166.39,108.41,60.09,163.12,141.1,194.44,60.61,173.21,47.27,104.02,160.08,64.86,74.55,44.43
182,bta-miR-106b,820.0,bta-mir-106b,820.0,45.0,33.0,32.0,16.0,59.0,24.0,7.0,46.0,12.0,57.0,30.0,71.0,3.0,3.0,24.0,9.0,38.0,35.0,94.0,37.0,21.0,36.0,31.0,57.0,88.21,80.95,64.35,49.8,99.56,90.49,19.77,82.0,29.94,70.48,60.88,85.52,20.03,7.41,52.1,35.0,69.8,64.49,120.08,93.87,65.92,64.86,66.03,81.69
183,bta-miR-424-3p,504.0,bta-mir-424,504.0,45.0,22.0,19.0,20.0,11.0,20.0,16.0,24.0,14.0,52.0,26.0,19.0,6.0,13.0,16.0,10.0,31.0,21.0,12.0,20.0,23.0,19.0,27.0,18.0,88.21,53.97,38.21,62.25,18.56,75.41,45.18,42.78,34.93,64.3,52.76,22.89,40.06,32.13,34.73,38.89,56.94,38.7,15.33,50.74,72.19,34.23,57.51,25.8
184,bta-miR-432,1942.0,bta-mir-432,1942.0,44.0,83.0,73.0,23.0,264.0,52.0,27.0,156.0,23.0,111.0,37.0,45.0,28.0,10.0,38.0,22.0,217.0,57.0,315.0,56.0,13.0,15.0,115.0,118.0,86.25,203.61,146.81,71.59,445.49,196.07,76.25,278.08,57.39,137.25,75.08,54.21,186.95,24.72,82.49,85.55,398.57,105.03,402.4,142.08,40.81,27.03,244.95,169.11
185,bta-miR-1388-3p,699.0,bta-mir-1388,699.0,44.0,16.0,54.0,40.0,31.0,11.0,11.0,22.0,39.0,31.0,34.0,65.0,5.0,26.0,31.0,8.0,34.0,44.0,38.0,9.0,23.0,29.0,24.0,30.0,86.25,39.25,108.6,124.5,52.31,41.48,31.06,39.22,97.31,38.33,68.99,78.3,33.38,64.26,67.29,31.11,62.45,81.08,48.54,22.83,72.19,52.25,51.12,42.99
186,bta-miR-200a,565.0,bta-mir-200a,565.0,44.0,10.0,39.0,13.0,7.0,12.0,8.0,25.0,26.0,9.0,67.0,37.0,1.0,5.0,22.0,9.0,37.0,20.0,62.0,19.0,20.0,44.0,11.0,18.0,86.25,24.53,78.43,40.46,11.81,45.25,22.59,44.56,64.87,11.13,135.96,44.57,6.68,12.36,47.76,35.0,67.96,36.85,79.2,48.21,62.78,79.28,23.43,25.8
187,bta-miR-30f,374.0,bta-mir-30f,374.0,44.0,9.0,8.0,10.0,7.0,7.0,8.0,6.0,13.0,18.0,30.0,35.0,0.0,8.0,23.0,9.0,22.0,20.0,18.0,13.0,35.0,10.0,8.0,13.0,86.25,22.08,16.09,31.12,11.81,26.39,22.59,10.7,32.44,22.26,60.88,42.16,0.0,19.77,49.93,35.0,40.41,36.85,22.99,32.98,109.86,18.02,17.04,18.63
188,bta-miR-139,521.0,bta-mir-139,521.0,43.0,11.0,31.0,17.0,10.0,0.0,7.0,13.0,24.0,12.0,23.0,55.0,1.0,10.0,28.0,21.0,14.0,42.0,45.0,12.0,9.0,6.0,15.0,72.0,84.29,26.98,62.34,52.91,16.87,0.0,19.77,23.17,59.88,14.84,46.67,66.25,6.68,24.72,60.78,81.67,25.71,77.39,57.49,30.45,28.25,10.81,31.95,103.18
189,bta-miR-411a,512.0,bta-mir-411a,512.0,42.0,27.0,24.0,9.0,55.0,6.0,5.0,13.0,13.0,34.0,15.0,26.0,1.0,12.0,13.0,13.0,38.0,34.0,57.0,18.0,4.0,13.0,14.0,26.0,82.33,66.23,48.26,28.01,92.81,22.62,14.12,23.17,32.44,42.04,30.44,31.32,6.68,29.66,28.22,50.55,69.8,62.65,72.81,45.67,12.56,23.42,29.82,37.26
190,bta-miR-98,640.0,bta-mir-98,640.0,40.0,72.0,37.0,7.0,38.0,10.0,6.0,9.0,15.0,21.0,31.0,56.0,1.0,16.0,21.0,11.0,47.0,35.0,67.0,27.0,13.0,13.0,9.0,38.0,78.41,176.62,74.41,21.79,64.12,37.7,16.94,16.04,37.43,25.97,62.91,67.46,6.68,39.55,45.59,42.78,86.33,64.49,85.59,68.5,40.81,23.42,19.17,54.46
191,bta-miR-154c,1529.0,bta-mir-154c,1529.0,40.0,57.0,60.0,21.0,229.0,56.0,55.0,89.0,29.0,98.0,23.0,43.0,26.0,20.0,42.0,18.0,105.0,44.0,232.0,51.0,22.0,29.0,69.0,71.0,78.41,139.83,120.66,65.36,386.43,211.15,155.32,158.65,72.36,121.18,46.67,51.8,173.6,49.43,91.17,70.0,192.86,81.08,296.37,129.39,69.06,52.25,146.97,101.75
192,bta-miR-19a,727.0,bta-mir-19a,727.0,40.0,33.0,43.0,15.0,52.0,15.0,17.0,31.0,17.0,49.0,33.0,45.0,0.0,22.0,19.0,8.0,44.0,40.0,66.0,35.0,16.0,34.0,19.0,34.0,78.41,80.95,86.47,46.69,87.75,56.56,48.01,55.26,42.42,60.59,66.96,54.21,0.0,54.37,41.24,31.11,80.82,73.71,84.31,88.8,50.22,61.26,40.47,48.73
193,bta-miR-2284w,835.0,bta-mir-2284w,835.0,40.0,28.0,50.0,26.0,39.0,16.0,29.0,50.0,22.0,51.0,61.0,82.0,12.0,30.0,17.0,20.0,35.0,39.0,47.0,18.0,22.0,25.0,29.0,47.0,78.41,68.69,100.55,80.92,65.81,60.33,81.9,89.13,54.89,63.06,123.78,98.77,80.12,74.15,36.9,77.78,64.29,71.87,60.04,45.67,69.06,45.04,61.77,67.36
194,bta-miR-22-5p,598.0,bta-mir-22,598.0,40.0,15.0,41.0,30.0,17.0,15.0,18.0,28.0,37.0,15.0,34.0,51.0,5.0,13.0,29.0,23.0,31.0,23.0,33.0,6.0,24.0,29.0,14.0,27.0,78.41,36.8,82.45,93.37,28.69,56.56,50.83,49.91,92.32,18.55,68.99,61.43,33.38,32.13,62.95,89.44,56.94,42.38,42.16,15.22,75.33,52.25,29.82,38.69
195,bta-miR-1842,628.0,bta-mir-1842,628.0,39.0,20.0,39.0,18.0,51.0,12.0,11.0,25.0,18.0,54.0,27.0,53.0,6.0,23.0,20.0,10.0,32.0,25.0,53.0,6.0,8.0,15.0,14.0,49.0,76.45,49.06,78.43,56.02,86.06,45.25,31.06,44.56,44.91,66.77,54.79,63.84,40.06,56.85,43.41,38.89,58.78,46.07,67.7,15.22,25.11,27.03,29.82,70.22
196,bta-miR-450b,408.0,bta-mir-450b,408.0,37.0,20.0,25.0,10.0,8.0,13.0,12.0,14.0,6.0,45.0,21.0,35.0,1.0,7.0,11.0,3.0,27.0,17.0,28.0,17.0,12.0,12.0,12.0,15.0,72.53,49.06,50.28,31.12,13.5,49.02,33.89,24.96,14.97,55.64,42.61,42.16,6.68,17.3,23.88,11.67,49.59,31.33,35.77,43.13,37.67,21.62,25.56,21.5
197,bta-miR-142-3p,853.0,bta-mir-142,853.0,36.0,43.0,32.0,21.0,86.0,13.0,20.0,23.0,22.0,76.0,50.0,65.0,25.0,14.0,26.0,13.0,36.0,37.0,89.0,21.0,18.0,25.0,14.0,48.0,70.57,105.48,64.35,65.36,145.12,49.02,56.48,41.0,54.89,93.97,101.46,78.3,166.92,34.6,56.44,50.55,66.12,68.18,113.69,53.28,56.5,45.04,29.82,68.79
198,bta-miR-505,833.0,bta-mir-505,833.0,36.0,35.0,32.0,31.0,62.0,31.0,38.0,60.0,20.0,59.0,45.0,43.0,14.0,13.0,27.0,14.0,49.0,20.0,71.0,24.0,7.0,20.0,30.0,52.0,70.57,85.86,64.35,96.49,104.62,116.88,107.31,106.95,49.9,72.95,91.31,51.8,93.48,32.13,58.61,54.44,90.0,36.85,90.7,60.89,21.97,36.04,63.9,74.52
199,bta-miR-15b,583.0,bta-mir-15b,583.0,35.0,27.0,34.0,9.0,28.0,11.0,7.0,13.0,13.0,53.0,27.0,44.0,3.0,5.0,22.0,7.0,24.0,32.0,73.0,25.0,9.0,23.0,14.0,45.0,68.61,66.23,68.37,28.01,47.25,41.48,19.77,23.17,32.44,65.53,54.79,53.0,20.03,12.36,47.76,27.22,44.08,58.97,93.25,63.43,28.25,41.44,29.82,64.49
200,bta-miR-1249,806.0,bta-mir-1249,806.0,34.0,35.0,24.0,41.0,48.0,17.0,17.0,22.0,26.0,64.0,57.0,38.0,7.0,23.0,66.0,47.0,52.0,29.0,28.0,28.0,33.0,26.0,26.0,18.0,66.65,85.86,48.26,127.61,81.0,64.1,48.01,39.22,64.87,79.14,115.66,45.77,46.74,56.85,143.27,182.78,95.51,53.44,35.77,71.04,103.58,46.85,55.38,25.8
201,bta-miR-1296,643.0,bta-mir-1296,643.0,32.0,30.0,25.0,21.0,36.0,15.0,13.0,31.0,23.0,65.0,21.0,42.0,9.0,25.0,26.0,22.0,24.0,24.0,25.0,26.0,14.0,31.0,30.0,33.0,62.73,73.59,50.28,65.36,60.75,56.56,36.71,55.26,57.39,80.37,42.61,50.59,60.09,61.79,56.44,85.55,44.08,44.22,31.94,65.97,43.94,55.85,63.9,47.29
202,bta-miR-199b,604.0,bta-mir-199b,604.0,32.0,26.0,34.0,17.0,51.0,19.0,12.0,31.0,28.0,34.0,20.0,34.0,2.0,6.0,25.0,9.0,23.0,30.0,38.0,38.0,13.0,26.0,13.0,43.0,62.73,63.78,68.37,52.91,86.06,71.64,33.89,55.26,69.86,42.04,40.58,40.96,13.35,14.83,54.27,35.0,42.24,55.28,48.54,96.41,40.81,46.85,27.69,61.62
203,bta-miR-194,783.0,bta-mir-194-1,783.0,31.0,22.0,37.0,18.0,17.0,27.0,31.0,33.0,28.0,45.0,64.0,41.0,3.0,7.0,21.0,12.0,42.0,19.0,119.0,41.0,23.0,23.0,23.0,56.0,60.77,53.97,74.41,56.02,28.69,101.8,87.54,58.82,69.86,55.64,129.87,49.39,20.03,17.3,45.59,46.67,77.14,35.01,152.02,104.02,72.19,41.44,48.99,80.25
204,bta-miR-33b,412.0,bta-mir-33b,412.0,31.0,6.0,20.0,16.0,24.0,18.0,15.0,27.0,9.0,30.0,23.0,25.0,1.0,7.0,10.0,4.0,25.0,14.0,25.0,5.0,17.0,32.0,24.0,4.0,60.77,14.72,40.22,49.8,40.5,67.87,42.36,48.13,22.46,37.09,46.67,30.11,6.68,17.3,21.71,15.56,45.92,25.8,31.94,12.69,53.36,57.66,51.12,5.73
205,bta-miR-6119-5p,788.0,bta-mir-6119,788.0,30.0,66.0,22.0,12.0,101.0,25.0,19.0,18.0,36.0,54.0,35.0,53.0,7.0,14.0,31.0,13.0,42.0,26.0,44.0,31.0,21.0,37.0,9.0,42.0,58.81,161.9,44.24,37.35,170.43,94.26,53.66,32.09,89.82,66.77,71.02,63.84,46.74,34.6,67.29,50.55,77.14,47.91,56.21,78.65,65.92,66.67,19.17,60.19
206,bta-miR-194,758.0,bta-mir-194-2,758.0,30.0,23.0,39.0,18.0,17.0,25.0,19.0,33.0,27.0,40.0,65.0,41.0,3.0,8.0,21.0,13.0,41.0,19.0,113.0,40.0,23.0,22.0,21.0,57.0,58.81,56.42,78.43,56.02,28.69,94.26,53.66,58.82,67.37,49.46,131.9,49.39,20.03,19.77,45.59,50.55,75.31,35.01,144.35,101.48,72.19,39.64,44.73,81.69
207,bta-miR-885,1007.0,bta-mir-885,1007.0,29.0,26.0,22.0,39.0,23.0,45.0,54.0,62.0,44.0,86.0,61.0,66.0,1.0,23.0,22.0,33.0,42.0,41.0,52.0,22.0,37.0,26.0,69.0,82.0,56.84,63.78,44.24,121.39,38.81,169.67,152.49,110.52,109.78,106.34,123.78,79.5,6.68,56.85,47.76,128.33,77.14,75.55,66.43,55.82,116.14,46.85,146.97,117.52
208,bta-miR-429,326.0,bta-mir-429,326.0,28.0,7.0,8.0,3.0,1.0,15.0,3.0,13.0,11.0,12.0,51.0,12.0,1.0,2.0,9.0,2.0,32.0,17.0,40.0,4.0,15.0,17.0,6.0,17.0,54.88,17.17,16.09,9.34,1.69,56.56,8.47,23.17,27.45,14.84,103.49,14.45,6.68,4.94,19.54,7.78,58.78,31.33,51.1,10.15,47.08,30.63,12.78,24.36
